#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,11353211009174312
1,0;2,0;0,05733944954128441
2,0;3,0;0,05309633027522936
3,0;4,0;0,05653669724770642
4,0;5,0;0,05309633027522936
5,0;6,0;0,047706422018348627
6,0;7,0;0,045871559633027525
7,0;8,0;0,04690366972477064
8,0;9,0;0,04472477064220184
9,0;10,0;0,04151376146788991
10,0;11,0;0,0393348623853211
11,0;12,0;0,02912844036697248
12,0;13,0;0,027408256880733946
13,0;14,0;0,024426605504587157
14,0;15,0;0,02419724770642202
15,0;16,0;0,020986238532110093
16,0;17,0;0,020756880733944955
17,0;18,0;0,02236238532110092
18,0;19,0;0,021444954128440368
19,0;20,0;0,0231651376146789
20,0;21,0;0,019610091743119267
21,0;22,0;0,015137614678899083
22,0;23,0;0,013417431192660551
23,0;24,0;0,011697247706422019
24,0;25,0;0,011123853211009175
25,0;26,0;0,011238532110091744
26,0;27,0;0,009059633027522936
27,0;28,0;0,011467889908256881
28,0;29,0;0,012385321100917432
29,0;30,0;0,011353211009174313
30,0;31,0;0,011238532110091744
31,0;32,0;0,008486238532110092
32,0;33,0;0,008142201834862386
33,0;34,0;0,008830275229357799
34,0;35,0;0,005275229357798165
35,0;36,0;0,005275229357798165
36,0;37,0;0,004701834862385321
37,0;38,0;0,0034403669724770644
38,0;39,0;0,0022935779816513763
39,0;40,0;0,0013761467889908258
40,0;41,0;9,174311926605505E-4
41,0;42,0;0,0
42,0;43,0;0,0
43,0;44,0;0,0
44,0;45,0;0,0
45,0;46,0;0,0
46,0;47,0;0,0
47,0;48,0;0,0
48,0;49,0;0,0
49,0;50,0;0,0
50,0;51,0;0,0
51,0;52,0;0,0
52,0;53,0;0,0
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
