#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,11262646946025053
1,5;0,05405368089216433
2,5;0,052148088068512795
3,5;0,049192479366822854
4,5;0,05199347260288119
5,5;0,04948048633011007
6,5;0,049766211146303085
7,5;0,040480839264158186
8,5;0,039920343937824274
9,5;0,04283841131981473
10,5;0,032957284938730624
11,5;0,026051507831701237
12,5;0,03203415643912937
13,5;0,02563136455166022
14,5;0,02741292268074234
15,5;0,023276873394580837
16,5;0,02312180149953039
17,5;0,021314341000929177
18,5;0,02127417521207137
19,5;0,023527681360232696
20,5;0,02323020348650458
21,5;0,017272544389757862
22,5;0,014725554125283258
23,5;0,01529631911354104
24,5;0,01110595472653773
25,5;0,010284724094692216
26,5;0,007552994022942653
27,5;0,011003486322008444
28,5;0,009144221084369039
29,5;0,009774093682366432
30,5;0,010601257896656849
31,5;0,008476008415189196
32,5;0,009869487430903717
33,5;0,00725437507566744
34,5;0,00987234011477146
35,5;0,008042400467292439
36,5;0,004106267266582281
37,5;0,004337562874578787
38,5;0,004216723185941244
39,5;0,002791522325617432
40,5;0,0011568203620466616
41,5;4,599667468346905E-4
42,5;3,225814917642446E-4
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
