#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,1455962587685113
1,0;2,0;0,07038191738113796
2,0;3,0;0,06710833982852689
3,0;4,0;0,05962587685113016
4,0;5,0;0,057833203429462195
5,0;6,0;0,051753702260327356
6,0;7,0;0,04957131722525331
7,0;8,0;0,046297739672642245
8,0;9,0;0,04715510522213562
9,0;10,0;0,04310210444271239
10,0;11,0;0,04091971940763835
11,0;12,0;0,038113795791114576
12,0;13,0;0,03351519875292284
13,0;14,0;0,029384255650818394
14,0;15,0;0,022291504286827746
15,0;16,0;0,023460639127045987
16,0;17,0;0,021044427123928292
17,0;18,0;0,018160561184723305
18,0;19,0;0,01823850350740452
19,0;20,0;0,01215900233826968
20,0;21,0;0,012081060015588464
21,0;22,0;0,010600155884645362
22,0;23,0;0,0074045206547155105
23,0;24,0;0,0056118472330475445
24,0;25,0;0,004208885424785659
25,0;26,0;0,0047544816835541695
26,0;27,0;0,004130943102104443
27,0;28,0;0,004910366328916602
28,0;29,0;0,004598597038191738
29,0;30,0;0,004286827747466875
30,0;31,0;0,003897116134060795
31,0;32,0;0,0035853468433359316
32,0;33,0;0,002260327357755261
33,0;34,0;0,0014809041309431022
34,0;35,0;0,002572096648480125
35,0;36,0;0,0020265003897116133
36,0;37,0;0,0014029618082618861
37,0;38,0;5,455962587685113E-4
38,0;39,0;2,338269680436477E-4
39,0;40,0;0,0012470771628994544
40,0;41,0;7,014809041309431E-4
41,0;42,0;8,573655494933749E-4
42,0;43,0;7,79423226812159E-4
43,0;44,0;0,0010911925175370225
44,0;45,0;0,0018706157443491816
45,0;46,0;0,0017926734216679658
46,0;47,0;7,79423226812159E-4
47,0;48,0;0,0011691348402182386
48,0;49,0;7,79423226812159E-4
49,0;50,0;7,014809041309431E-4
50,0;51,0;7,014809041309431E-4
51,0;52,0;5,455962587685113E-4
52,0;53,0;0,0012470771628994544
53,0;54,0;0,0010911925175370225
54,0;55,0;5,455962587685113E-4
55,0;56,0;0,0017147310989867497
56,0;57,0;0,0014809041309431022
57,0;58,0;0,0017926734216679658
58,0;59,0;0,0011691348402182386
59,0;60,0;0,0010911925175370225
60,0;61,0;4,676539360872954E-4
61,0;62,0;0,0
62,0;63,0;7,79423226812159E-5
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
