#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,1389882702665537
1,0;2,0;0,06559507891832694
2,0;3,0;0,06421369856121453
3,0;4,0;0,06030268134099383
4,0;5,0;0,05701934681027384
5,0;6,0;0,05428120261657408
6,0;7,0;0,04956069542673664
7,0;8,0;0,04545236020343586
8,0;9,0;0,04155654503507546
9,0;10,0;0,0433711452863183
10,0;11,0;0,045344325317119044
11,0;12,0;0,03841844025867565
12,0;13,0;0,028371350166763423
13,0;14,0;0,026146448850844488
14,0;15,0;0,027604379641689953
15,0;16,0;0,02580976584441572
16,0;17,0;0,021051137773263635
17,0;18,0;0,021654512613343065
18,0;19,0;0,018646744210506903
19,0;20,0;0,014982432369968246
20,0;21,0;0,012611915460849431
21,0;22,0;0,011816778697557647
22,0;23,0;0,007955920531698323
23,0;24,0;0,006436718526756036
24,0;25,0;0,004506752450482017
25,0;26,0;0,006801181932523416
26,0;27,0;0,004412916434938266
27,0;28,0;0,0034128220587482908
28,0;29,0;0,004586929769684284
29,0;30,0;0,0030972058551513
30,0;31,0;0,002897958657672711
31,0;32,0;0,0012076756934701477
32,0;33,0;0,0020709516029174665
33,0;34,0;0,002775879236134706
34,0;35,0;0,0030021351551925
35,0;36,0;0,0036838352878516235
36,0;37,0;0,002232618093512991
37,0;38,0;0,0031550816871067384
38,0;39,0;0,0020742698172829116
39,0;40,0;0,0017353489453518646
40,0;41,0;0,001617513751490592
41,0;42,0;6,796937704846685E-4
42,0;43,0;0,0010981746194104582
43,0;44,0;6,439650902241778E-4
44,0;45,0;5,627845899346829E-4
45,0;46,0;8,415917644080148E-4
46,0;47,0;0,001004029932762945
47,0;48,0;3,6415473466361835E-4
48,0;49,0;3,288890610587712E-4
49,0;50,0;4,295158408852934E-4
50,0;51,0;5,844687349739871E-4
51,0;52,0;8,7793778687603E-4
52,0;53,0;0,0015940547476046543
53,0;54,0;0,0019300432440499593
54,0;55,0;0,0015679720393367367
55,0;56,0;0,0024273895599870267
56,0;57,0;0,0011146885234617433
57,0;58,0;0,0014255974927263584
58,0;59,0;0,0012372309516553916
59,0;60,0;4,0559383034371224E-4
60,0;61,0;4,192525266851957E-4
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
