#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,11604944659746655
1,0;2,0;0,04892834948832613
2,0;3,0;0,04530819332064461
3,0;4,0;0,042552423845187766
4,0;5,0;0,03978654812990601
5,0;6,0;0,04338831094110619
6,0;7,0;0,04375001326443977
7,0;8,0;0,03967608692861973
8,0;9,0;0,033969194361890505
9,0;10,0;0,02926463866099599
10,0;11,0;0,028831283097303786
11,0;12,0;0,025955552555125244
12,0;13,0;0,021246651171106017
13,0;14,0;0,022140548083619434
14,0;15,0;0,020458768714355924
15,0;16,0;0,019643397285282072
16,0;17,0;0,01842923363271721
17,0;18,0;0,017957878607283345
18,0;19,0;0,018285320777610473
19,0;20,0;0,019323534794823623
20,0;21,0;0,018536157650064777
21,0;22,0;0,01984804864173653
22,0;23,0;0,01317024961502806
23,0;24,0;0,01844318024367559
24,0;25,0;0,0164743836633846
25,0;26,0;0,015346426236526234
26,0;27,0;0,0114144925702462
27,0;28,0;0,00949642931387626
28,0;29,0;0,011201554097135316
29,0;30,0;0,011571240349930576
30,0;31,0;0,009442360930812986
31,0;32,0;0,010900084963158209
32,0;33,0;0,009082780917842637
33,0;34,0;0,009673389573210461
34,0;35,0;0,007338342861664677
35,0;36,0;0,006810797142804302
36,0;37,0;0,004668375362321331
37,0;38,0;0,009035079465869055
38,0;39,0;0,007417070469900738
39,0;40,0;0,0073165133836428685
40,0;41,0;0,007972812597872617
41,0;42,0;0,008026880980935892
42,0;43,0;0,007950578870257812
43,0;44,0;0,006301139468434019
44,0;45,0;0,006433935459733355
45,0;46,0;0,004816128588561536
46,0;47,0;0,00555489471976256
47,0;48,0;0,005798455099542925
48,0;49,0;0,005508810266160964
49,0;50,0;0,003818642717842779
50,0;51,0;0,0038824130911379695
51,0;52,0;0,002761125782564048
52,0;53,0;0,0024622842709414177
53,0;54,0;0,0019395895471969991
54,0;55,0;0,001768693031757747
55,0;56,0;0,0013917302862885511
56,0;57,0;9,67571400837019E-4
57,0;58,0;3,052084427123248E-5
58,0;59,0;4,072814649439301E-4
59,0;60,0;7,41798003148498E-5
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
