#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,09198586302416659
1,0;2,0;0,03906772375585061
2,0;3,0;0,04393924921195912
3,0;4,0;0,03983188461171076
4,0;5,0;0,03964084439774573
5,0;6,0;0,03792148247206037
6,0;7,0;0,03782596236507785
7,0;8,0;0,03400515808577705
8,0;9,0;0,03534243958353234
9,0;10,0;0,032667876588021776
10,0;11,0;0,029229152736651064
11,0;12,0;0,027509790810965707
12,0;13,0;0,024548667494507594
13,0;14,0;0,02665010984812303
14,0;15,0;0,024930747922437674
15,0;16,0;0,02722323049001815
16,0;17,0;0,023593466424682397
17,0;18,0;0,018435380647626325
18,0;19,0;0,01681153882892349
19,0;20,0;0,017098099149871048
20,0;21,0;0,014901136689273092
21,0;22,0;0,01681153882892349
22,0;23,0;0,01528321711720317
23,0;24,0;0,016333938294010888
24,0;25,0;0,014423536154360492
25,0;26,0;0,013659375298500333
26,0;27,0;0,01528321711720317
27,0;28,0;0,011940013372814978
28,0;29,0;0,008883369949374343
29,0;30,0;0,009743050912217022
30,0;31,0;0,008119209093514185
31,0;32,0;0,009456490591269462
32,0;33,0;0,009265450377304422
33,0;34,0;0,009743050912217022
34,0;35,0;0,009743050912217022
35,0;36,0;0,009743050912217022
36,0;37,0;0,008405769414461745
37,0;38,0;0,008692329735409303
38,0;39,0;0,01117585251695482
39,0;40,0;0,01069825198204222
40,0;41,0;0,009552010698251982
41,0;42,0;0,007928168879549145
42,0;43,0;0,007164008023688987
43,0;44,0;0,004871525456108511
44,0;45,0;0,003725284172318273
45,0;46,0;0,0038208042793007927
46,0;47,0;0,0016238418187028369
47,0;48,0;0,0014328016047377972
48,0;49,0;0,002770083102493075
49,0;50,0;0,002196962460597956
50,0;51,0;0,004489445028178432
51,0;52,0;0,003152163530423154
52,0;53,0;0,002196962460597956
53,0;54,0;0,002579042888528035
54,0;55,0;0,0023880026745629955
55,0;56,0;0,002196962460597956
56,0;57,0;0,003056643423440634
57,0;58,0;0,001528321711720317
58,0;59,0;0,001146241283790238
59,0;60,0;0,0018148820326678765
60,0;61,0;0,0013372814977552776
61,0;62,0;0,0019104021396503963
62,0;63,0;0,0021014423536154362
63,0;64,0;0,002579042888528035
64,0;65,0;0,0029611233164581145
65,0;66,0;0,0029611233164581145
66,0;67,0;0,002292482567580476
67,0;68,0;0,003629764065335753
68,0;69,0;0,003629764065335753
69,0;70,0;0,002292482567580476
70,0;71,0;0,0013372814977552776
71,0;72,0;0,0016238418187028369
72,0;73,0;5,73120641895119E-4
73,0;74,0;1,9104021396503963E-4
74,0;75,0;2,865603209475595E-4
75,0;76,0;9,552010698251981E-5
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
