#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,09355429745349171
1,5;0,038858092559349015
2,5;0,04146493467791946
3,5;0,0407521617209076
4,5;0,03546445949594812
5,5;0,04230335485806013
6,5;0,03570224348810588
7,5;0,03749208914660831
8,5;0,0318506060307193
9,5;0,03061189039624811
10,5;0,02474034354768698
11,5;0,026438800634528126
12,5;0,02921944509476908
13,5;0,02807559214872771
14,5;0,024145208044587585
15,5;0,023278029897862897
16,5;0,02097990165547454
17,5;0,017485229696055316
18,5;0,015351928993685407
19,5;0,018752413787379806
20,5;0,019325160537970842
21,5;0,013121160015309274
22,5;0,015947643516246224
23,5;0,012607280243296257
24,5;0,01714457324625138
25,5;0,013086418847623887
26,5;0,0131518480467647
27,5;0,016390496900991338
28,5;0,013232428255146084
29,5;0,0108158905328967
30,5;0,009282840005535427
31,5;0,011700246256976942
32,5;0,009833873526323093
33,5;0,00841836394963071
34,5;0,007428819690058603
35,5;0,0073355975567694805
36,5;0,007891166730004963
37,5;0,0061262189083437285
38,5;0,0068406324204962855
39,5;0,005550384053958438
40,5;0,0089064773556104
41,5;0,007189491646003714
42,5;0,006723863495775957
43,5;0,006829438044242105
44,5;0,0061680048128097634
45,5;0,004438087668564628
46,5;0,00528712320549806
47,5;0,004733870110108271
48,5;0,004098203244709258
49,5;0,0037948935501671147
50,5;0,004154561138954441
51,5;0,00421178756239176
52,5;7,280204694960002E-4
53,5;0,0010814153474512432
54,5;0,0027027663426795437
55,5;0,0021025161676709115
56,5;0,002822237358219847
57,5;0,0024584201299589882
58,5;0,0017745981460182858
59,5;0,002276994032046411
60,5;0,00257576807414074
61,5;0,0015944265902721256
62,5;0,0031905902389285207
63,5;0,0022978387326576433
64,5;0,0022464025038345563
65,5;0,002226812345389741
66,5;0,002446164218025532
67,5;0,0011128754048552326
68,5;0,0017395674686021872
69,5;0,0011353606606071636
70,5;0,0017815463795553632
71,5;0,0014083683366681637
72,5;3,6072912446660245E-4
73,5;0,0010146351029004437
74,5;0,0013836635063141107
75,5;0,0010301721251152972
76,5;6,568010757409567E-4
77,5;2,8159646473877633E-4
78,5;3,918996721398803E-4
79,5;0,0068899455779608204
