#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,09355429745349171
1,0;2,0;0,038858092559349015
2,0;3,0;0,04146493467791946
3,0;4,0;0,0407521617209076
4,0;5,0;0,03546445949594812
5,0;6,0;0,04230335485806013
6,0;7,0;0,03570224348810588
7,0;8,0;0,03749208914660831
8,0;9,0;0,0318506060307193
9,0;10,0;0,03061189039624811
10,0;11,0;0,02474034354768698
11,0;12,0;0,026438800634528126
12,0;13,0;0,02921944509476908
13,0;14,0;0,02807559214872771
14,0;15,0;0,024145208044587585
15,0;16,0;0,023278029897862897
16,0;17,0;0,02097990165547454
17,0;18,0;0,017485229696055316
18,0;19,0;0,015351928993685407
19,0;20,0;0,018752413787379806
20,0;21,0;0,019325160537970842
21,0;22,0;0,013121160015309274
22,0;23,0;0,015947643516246224
23,0;24,0;0,012607280243296257
24,0;25,0;0,01714457324625138
25,0;26,0;0,013086418847623887
26,0;27,0;0,0131518480467647
27,0;28,0;0,016390496900991338
28,0;29,0;0,013232428255146084
29,0;30,0;0,0108158905328967
30,0;31,0;0,009282840005535427
31,0;32,0;0,011700246256976942
32,0;33,0;0,009833873526323093
33,0;34,0;0,00841836394963071
34,0;35,0;0,007428819690058603
35,0;36,0;0,0073355975567694805
36,0;37,0;0,007891166730004963
37,0;38,0;0,0061262189083437285
38,0;39,0;0,0068406324204962855
39,0;40,0;0,005550384053958438
40,0;41,0;0,0089064773556104
41,0;42,0;0,007189491646003714
42,0;43,0;0,006723863495775957
43,0;44,0;0,006829438044242105
44,0;45,0;0,0061680048128097634
45,0;46,0;0,004438087668564628
46,0;47,0;0,00528712320549806
47,0;48,0;0,004733870110108271
48,0;49,0;0,004098203244709258
49,0;50,0;0,0037948935501671147
50,0;51,0;0,004154561138954441
51,0;52,0;0,00421178756239176
52,0;53,0;7,280204694960002E-4
53,0;54,0;0,0010814153474512432
54,0;55,0;0,0027027663426795437
55,0;56,0;0,0021025161676709115
56,0;57,0;0,002822237358219847
57,0;58,0;0,0024584201299589882
58,0;59,0;0,0017745981460182858
59,0;60,0;0,002276994032046411
60,0;61,0;0,00257576807414074
61,0;62,0;0,0015944265902721256
62,0;63,0;0,0031905902389285207
63,0;64,0;0,0022978387326576433
64,0;65,0;0,0022464025038345563
65,0;66,0;0,002226812345389741
66,0;67,0;0,002446164218025532
67,0;68,0;0,0011128754048552326
68,0;69,0;0,0017395674686021872
69,0;70,0;0,0011353606606071636
70,0;71,0;0,0017815463795553632
71,0;72,0;0,0014083683366681637
72,0;73,0;3,6072912446660245E-4
73,0;74,0;0,0010146351029004437
74,0;75,0;0,0013836635063141107
75,0;76,0;0,0010301721251152972
76,0;77,0;6,568010757409567E-4
77,0;78,0;2,8159646473877633E-4
78,0;79,0;3,918996721398803E-4
79,0;80,0;0,0068899455779608204
