#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,09198586302416659
1,5;0,03906772375585061
2,5;0,04393924921195912
3,5;0,03983188461171076
4,5;0,03964084439774573
5,5;0,03792148247206037
6,5;0,03782596236507785
7,5;0,03400515808577705
8,5;0,03534243958353234
9,5;0,032667876588021776
10,5;0,029229152736651064
11,5;0,027509790810965707
12,5;0,024548667494507594
13,5;0,02665010984812303
14,5;0,024930747922437674
15,5;0,02722323049001815
16,5;0,023593466424682397
17,5;0,018435380647626325
18,5;0,01681153882892349
19,5;0,017098099149871048
20,5;0,014901136689273092
21,5;0,01681153882892349
22,5;0,01528321711720317
23,5;0,016333938294010888
24,5;0,014423536154360492
25,5;0,013659375298500333
26,5;0,01528321711720317
27,5;0,011940013372814978
28,5;0,008883369949374343
29,5;0,009743050912217022
30,5;0,008119209093514185
31,5;0,009456490591269462
32,5;0,009265450377304422
33,5;0,009743050912217022
34,5;0,009743050912217022
35,5;0,009743050912217022
36,5;0,008405769414461745
37,5;0,008692329735409303
38,5;0,01117585251695482
39,5;0,01069825198204222
40,5;0,009552010698251982
41,5;0,007928168879549145
42,5;0,007164008023688987
43,5;0,004871525456108511
44,5;0,003725284172318273
45,5;0,0038208042793007927
46,5;0,0016238418187028369
47,5;0,0014328016047377972
48,5;0,002770083102493075
49,5;0,002196962460597956
50,5;0,004489445028178432
51,5;0,003152163530423154
52,5;0,002196962460597956
53,5;0,002579042888528035
54,5;0,0023880026745629955
55,5;0,002196962460597956
56,5;0,003056643423440634
57,5;0,001528321711720317
58,5;0,001146241283790238
59,5;0,0018148820326678765
60,5;0,0013372814977552776
61,5;0,0019104021396503963
62,5;0,0021014423536154362
63,5;0,002579042888528035
64,5;0,0029611233164581145
65,5;0,0029611233164581145
66,5;0,002292482567580476
67,5;0,003629764065335753
68,5;0,003629764065335753
69,5;0,002292482567580476
70,5;0,0013372814977552776
71,5;0,0016238418187028369
72,5;5,73120641895119E-4
73,5;1,9104021396503963E-4
74,5;2,865603209475595E-4
75,5;9,552010698251981E-5
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
