#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,015763367825515927
1,0;2,0;2,0302852502205142E-4
2,0;3,0;3,30285638791854E-4
3,0;4,0;7,091426950530983E-5
4,0;5,0;7,985141031967764E-4
5,0;6,0;0,0025830279810221757
6,0;7,0;0,002883199340983008
7,0;8,0;0,003637027740107945
8,0;9,0;0,001176399731108633
9,0;10,0;2,5062851414205394E-4
10,0;11,0;0,0010335997637486254
11,0;12,0;0,0027792565075985126
12,0;13,0;0,007014684110929346
13,0;14,0;0,006412398534308907
14,0;15,0;0,0019030281364507116
15,0;16,0;0,005493427315788042
16,0;17,0;0,0032222278349193522
17,0;18,0;0,0045190846813520725
18,0;19,0;0,0058654843736035715
19,0;20,0;0,0164744533772678
20,0;21,0;0,0013017139881796598
21,0;22,0;0,005498284457534981
22,0;23,0;0,002672399389165854
23,0;24,0;0,004915427447902298
24,0;25,0;0,0011278283136392426
25,0;26,0;0,003546684903614879
26,0;27,0;0,0018194852984033604
27,0;28,0;0,003012399311451586
28,0;29,0;0,003305770672966703
29,0;30,0;0,010621597572206268
30,0;31,0;0,01186114014602511
31,0;32,0;0,006184112872202772
32,0;33,0;0,0022507994855315463
33,0;34,0;0,008805026558851072
34,0;35,0;0,014271253880856255
35,0;36,0;0,02527947993611887
36,0;37,0;0,022904337621865688
37,0;38,0;0,026430622530143423
38,0;39,0;0,02184936643443053
39,0;40,0;0,017831538781362566
40,0;41,0;0,014540339533636678
41,0;42,0;0,01907302421188018
42,0;43,0;0,018680567158727505
43,0;44,0;0,02605856547232789
44,0;45,0;0,0340718779264279
45,0;46,0;0,02888930768244396
46,0;47,0;0,02993359315803585
47,0;48,0;0,029754850341748493
48,0;49,0;0,04884924597731521
49,0;50,0;0,032619592544093134
50,0;51,0;0,027828507924912475
51,0;52,0;0,035336677637330824
52,0;53,0;0,038743476858633864
53,0;54,0;0,044705132638826826
54,0;55,0;0,04599324663011506
55,0;56,0;0,036258563140899855
56,0;57,0;0,026199422582989122
57,0;58,0;0,026226622576771982
58,0;59,0;0,038288848391120366
59,0;60,0;0,022300109188546472
60,0;61,0;0,03681422015674968
61,0;62,0;0,015085310837643237
62,0;63,0;0,016243253430113503
63,0;64,0;0,013081254152856193
64,0;65,0;0,007906455335667351
65,0;66,0;0,007997769600509805
66,0;67,0;6,168570018612568E-4
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
