#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,002061855670103093
1,0;2,0;0,0010309278350515464
2,0;3,0;0,0
3,0;4,0;0,0010309278350515464
4,0;5,0;0,0010309278350515464
5,0;6,0;0,002061855670103093
6,0;7,0;0,0
7,0;8,0;0,0
8,0;9,0;0,005154639175257732
9,0;10,0;0,004123711340206186
10,0;11,0;0,010309278350515464
11,0;12,0;0,009278350515463918
12,0;13,0;0,003092783505154639
13,0;14,0;0,002061855670103093
14,0;15,0;0,003092783505154639
15,0;16,0;0,003092783505154639
16,0;17,0;0,004123711340206186
17,0;18,0;0,007216494845360825
18,0;19,0;0,008247422680412371
19,0;20,0;0,009278350515463918
20,0;21,0;0,005154639175257732
21,0;22,0;0,004123711340206186
22,0;23,0;0,004123711340206186
23,0;24,0;0,002061855670103093
24,0;25,0;0,0010309278350515464
25,0;26,0;0,002061855670103093
26,0;27,0;0,003092783505154639
27,0;28,0;0,003092783505154639
28,0;29,0;0,003092783505154639
29,0;30,0;0,004123711340206186
30,0;31,0;0,003092783505154639
31,0;32,0;0,003092783505154639
32,0;33,0;0,004123711340206186
33,0;34,0;0,006185567010309278
34,0;35,0;0,006185567010309278
35,0;36,0;0,007216494845360825
36,0;37,0;0,007216494845360825
37,0;38,0;0,02577319587628866
38,0;39,0;0,029896907216494847
39,0;40,0;0,026804123711340205
40,0;41,0;0,032989690721649485
41,0;42,0;0,031958762886597936
42,0;43,0;0,02577319587628866
43,0;44,0;0,018556701030927835
44,0;45,0;0,018556701030927835
45,0;46,0;0,027835051546391754
46,0;47,0;0,02268041237113402
47,0;48,0;0,03814432989690722
48,0;49,0;0,031958762886597936
49,0;50,0;0,027835051546391754
50,0;51,0;0,03917525773195876
51,0;52,0;0,029896907216494847
52,0;53,0;0,032989690721649485
53,0;54,0;0,03814432989690722
54,0;55,0;0,05567010309278351
55,0;56,0;0,04742268041237113
56,0;57,0;0,050515463917525774
57,0;58,0;0,0443298969072165
58,0;59,0;0,04020618556701031
59,0;60,0;0,03814432989690722
60,0;61,0;0,018556701030927835
61,0;62,0;0,02577319587628866
62,0;63,0;0,006185567010309278
63,0;64,0;0,01443298969072165
64,0;65,0;0,003092783505154639
65,0;66,0;0,0010309278350515464
66,0;67,0;0,005154639175257732
67,0;68,0;0,005154639175257732
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
