#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,015763367825515927
1,5;2,0302852502205142E-4
2,5;3,30285638791854E-4
3,5;7,091426950530983E-5
4,5;7,985141031967764E-4
5,5;0,0025830279810221757
6,5;0,002883199340983008
7,5;0,003637027740107945
8,5;0,001176399731108633
9,5;2,5062851414205394E-4
10,5;0,0010335997637486254
11,5;0,0027792565075985126
12,5;0,007014684110929346
13,5;0,006412398534308907
14,5;0,0019030281364507116
15,5;0,005493427315788042
16,5;0,0032222278349193522
17,5;0,0045190846813520725
18,5;0,0058654843736035715
19,5;0,0164744533772678
20,5;0,0013017139881796598
21,5;0,005498284457534981
22,5;0,002672399389165854
23,5;0,004915427447902298
24,5;0,0011278283136392426
25,5;0,003546684903614879
26,5;0,0018194852984033604
27,5;0,003012399311451586
28,5;0,003305770672966703
29,5;0,010621597572206268
30,5;0,01186114014602511
31,5;0,006184112872202772
32,5;0,0022507994855315463
33,5;0,008805026558851072
34,5;0,014271253880856255
35,5;0,02527947993611887
36,5;0,022904337621865688
37,5;0,026430622530143423
38,5;0,02184936643443053
39,5;0,017831538781362566
40,5;0,014540339533636678
41,5;0,01907302421188018
42,5;0,018680567158727505
43,5;0,02605856547232789
44,5;0,0340718779264279
45,5;0,02888930768244396
46,5;0,02993359315803585
47,5;0,029754850341748493
48,5;0,04884924597731521
49,5;0,032619592544093134
50,5;0,027828507924912475
51,5;0,035336677637330824
52,5;0,038743476858633864
53,5;0,044705132638826826
54,5;0,04599324663011506
55,5;0,036258563140899855
56,5;0,026199422582989122
57,5;0,026226622576771982
58,5;0,038288848391120366
59,5;0,022300109188546472
60,5;0,03681422015674968
61,5;0,015085310837643237
62,5;0,016243253430113503
63,5;0,013081254152856193
64,5;0,007906455335667351
65,5;0,007997769600509805
66,5;6,168570018612568E-4
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
