#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
discrete time autocorrelation waiting time (lag=0);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;443.4940221980268;0.9999989993035153
discrete time autocorrelation waiting time (lag=1);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;442.61623732297727;0.9980197527912334
discrete time autocorrelation waiting time (lag=2);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;441.7556248897466;0.9960792270367859
discrete time autocorrelation waiting time (lag=3);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;440.91090325444327;0.9941745321644473
discrete time autocorrelation waiting time (lag=4);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;440.0782831910184;0.9922971241531774
discrete time autocorrelation waiting time (lag=5);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;439.25809714618333;0.9904477526103259
discrete time autocorrelation waiting time (lag=6);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;438.448893093277;0.9886231434777649
discrete time autocorrelation waiting time (lag=7);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;437.64593998968724;0.9868126291080384
discrete time autocorrelation waiting time (lag=8);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;436.85150327441715;0.9850213176573389
discrete time autocorrelation waiting time (lag=9);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;436.0641043106913;0.9832458750665324
discrete time autocorrelation waiting time (lag=10);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;435.2872067200325;0.9814941111772026
discrete time autocorrelation waiting time (lag=11);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;434.51825383516086;0.9797602611659395
discrete time autocorrelation waiting time (lag=12);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;433.75949847513493;0.9780494047332381
discrete time autocorrelation waiting time (lag=13);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;433.00663813145843;0.9763518404987519
discrete time autocorrelation waiting time (lag=14);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;432.2599463462869;0.9746681852506857
discrete time autocorrelation waiting time (lag=15);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;431.5199278442661;0.972999577052047
discrete time autocorrelation waiting time (lag=16);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;430.7847076154827;0.971341788093794
discrete time autocorrelation waiting time (lag=17);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;430.0546656580089;0.9696956752030155
discrete time autocorrelation waiting time (lag=18);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;429.3289004617541;0.9680592056371189
discrete time autocorrelation waiting time (lag=19);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;428.6119209443423;0.9664425461917909
discrete time autocorrelation waiting time (lag=20);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;427.89844294587897;0.9648337820399039
discrete time autocorrelation waiting time (lag=21);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;427.1905735633067;0.9632376643048743
discrete time autocorrelation waiting time (lag=22);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;426.4884046670156;0.9616544001378555
discrete time autocorrelation waiting time (lag=23);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;425.79126607215784;0.9600824783929389
discrete time autocorrelation waiting time (lag=24);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;425.0963553816603;0.9585155801703682
discrete time autocorrelation waiting time (lag=25);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;424.4085397076109;0.9569646799297161
discrete time autocorrelation waiting time (lag=26);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;423.7276930381936;0.9554294935370742
discrete time autocorrelation waiting time (lag=27);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;423.05130187036957;0.9539043534966077
discrete time autocorrelation waiting time (lag=28);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;422.3760981411083;0.9523818909158476
discrete time autocorrelation waiting time (lag=29);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;421.7059904803939;0.9508709190501641
discrete time autocorrelation waiting time (lag=30);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;421.04138422231017;0.9493723518547807
discrete time autocorrelation waiting time (lag=31);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;420.3795315216268;0.9478799934345039
discrete time autocorrelation waiting time (lag=32);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;419.72271167438646;0.9463989831906505
discrete time autocorrelation waiting time (lag=33);999304;19.028995058561406;443.4944660013799;21.05930829826516;1.1066957678771527;0.0;196.383;419.07080970584616;0.9449290618759203
