#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,10372460496613996
1,5;0,04616252821670429
2,5;0,04875846501128668
3,5;0,04762979683972912
4,5;0,04401805869074492
5,5;0,040857787810383746
6,5;0,037133182844243794
7,5;0,040293453724604966
8,5;0,034424379232505645
9,5;0,03487584650112867
10,5;0,028329571106094808
11,5;0,035553047404063204
12,5;0,029683972911963882
13,5;0,02674943566591422
14,5;0,024943566591422123
15,5;0,03216704288939052
16,5;0,026636568848758466
17,5;0,02144469525959368
18,5;0,018623024830699775
19,5;0,017155756207674944
20,5;0,0172686230248307
21,5;0,014334085778781038
22,5;0,01399548532731377
23,5;0,01218961625282167
24,5;0,011851015801354402
25,5;0,015011286681715575
26,5;0,015124153498871333
27,5;0,017945823927765236
28,5;0,019413092550790066
29,5;0,0154627539503386
30,5;0,011851015801354402
31,5;0,010609480812641084
32,5;0,008690744920993228
33,5;0,007336343115124154
34,5;0,005417607223476298
35,5;0,005417607223476298
36,5;0,0057562076749435665
37,5;0,003386004514672686
38,5;0,005869074492099322
39,5;0,004740406320541761
40,5;0,005304740406320542
41,5;0,0057562076749435665
42,5;0,004514672686230248
43,5;0,0030474040632054175
44,5;0,004740406320541761
45,5;0,002144469525959368
46,5;0,003837471783295711
47,5;0,0023702031602708803
48,5;0,0036117381489841984
49,5;0,001580135440180587
50,5;4,514672686230248E-4
51,5;7,900677200902935E-4
52,5;0,0010158013544018058
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
