#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,10642356707535364
1,0;2,0;0,04426641544498378
2,0;3,0;0,0453723615342622
3,0;4,0;0,047936602512834194
4,0;5,0;0,037843729241630195
5,0;6,0;0,040874606515606905
6,0;7,0;0,04108759684792378
7,0;8,0;0,0355427334723003
8,0;9,0;0,03246442462909078
9,0;10,0;0,034238817047628746
10,0;11,0;0,03019527577053149
11,0;12,0;0,026141005924202997
12,0;13,0;0,03505328485074076
13,0;14,0;0,024842171453377818
14,0;15,0;0,023845995567181057
15,0;16,0;0,026006729410351058
16,0;17,0;0,02614055419497221
17,0;18,0;0,021730886376320716
18,0;19,0;0,023799467456409824
19,0;20,0;0,019567780954689074
20,0;21,0;0,02217651726249376
21,0;22,0;0,017170792723816587
22,0;23,0;0,01947167556083878
23,0;24,0;0,019217916665443233
24,0;25,0;0,014937782203720397
25,0;26,0;0,012557733819002487
26,0;27,0;0,00992279721581206
27,0;28,0;0,009840243698885425
28,0;29,0;0,009748655597343019
29,0;30,0;0,0073560717264707235
30,0;31,0;0,014958561748336676
31,0;32,0;0,01155670184357475
32,0;33,0;0,012256995083604916
33,0;34,0;0,009109458735777023
34,0;35,0;0,0077812618649505776
35,0;36,0;0,007226199572618975
36,0;37,0;0,006088180707954568
37,0;38,0;0,007393113523395395
38,0;39,0;0,004070193301713793
39,0;40,0;0,00739175833570303
40,0;41,0;0,006022792901797905
41,0;42,0;0,004670428517124264
42,0;43,0;0,004240156424798037
43,0;44,0;0,005403472126386611
44,0;45,0;0,00625904728950039
45,0;46,0;0,005979426895642191
46,0;47,0;0,0028567356555076746
47,0;48,0;0,001474670073909678
48,0;49,0;0,0017963012862312253
49,0;50,0;0,0017251539323820066
50,0;51,0;0,002596087889342601
51,0;52,0;0,0018587528523877617
52,0;53,0;0,0012530968862078256
53,0;54,0;7,487412000322535E-5
54,0;55,0;1,8238567693093353E-4
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
