#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,10372460496613996
1,0;2,0;0,04616252821670429
2,0;3,0;0,04875846501128668
3,0;4,0;0,04762979683972912
4,0;5,0;0,04401805869074492
5,0;6,0;0,040857787810383746
6,0;7,0;0,037133182844243794
7,0;8,0;0,040293453724604966
8,0;9,0;0,034424379232505645
9,0;10,0;0,03487584650112867
10,0;11,0;0,028329571106094808
11,0;12,0;0,035553047404063204
12,0;13,0;0,029683972911963882
13,0;14,0;0,02674943566591422
14,0;15,0;0,024943566591422123
15,0;16,0;0,03216704288939052
16,0;17,0;0,026636568848758466
17,0;18,0;0,02144469525959368
18,0;19,0;0,018623024830699775
19,0;20,0;0,017155756207674944
20,0;21,0;0,0172686230248307
21,0;22,0;0,014334085778781038
22,0;23,0;0,01399548532731377
23,0;24,0;0,01218961625282167
24,0;25,0;0,011851015801354402
25,0;26,0;0,015011286681715575
26,0;27,0;0,015124153498871333
27,0;28,0;0,017945823927765236
28,0;29,0;0,019413092550790066
29,0;30,0;0,0154627539503386
30,0;31,0;0,011851015801354402
31,0;32,0;0,010609480812641084
32,0;33,0;0,008690744920993228
33,0;34,0;0,007336343115124154
34,0;35,0;0,005417607223476298
35,0;36,0;0,005417607223476298
36,0;37,0;0,0057562076749435665
37,0;38,0;0,003386004514672686
38,0;39,0;0,005869074492099322
39,0;40,0;0,004740406320541761
40,0;41,0;0,005304740406320542
41,0;42,0;0,0057562076749435665
42,0;43,0;0,004514672686230248
43,0;44,0;0,0030474040632054175
44,0;45,0;0,004740406320541761
45,0;46,0;0,002144469525959368
46,0;47,0;0,003837471783295711
47,0;48,0;0,0023702031602708803
48,0;49,0;0,0036117381489841984
49,0;50,0;0,001580135440180587
50,0;51,0;4,514672686230248E-4
51,0;52,0;7,900677200902935E-4
52,0;53,0;0,0010158013544018058
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
