#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,09353806696935678
1,0;2,0;0,045812128676625645
2,0;3,0;0,0421234780391709
3,0;4,0;0,03713115270717457
4,0;5,0;0,04304211613272555
5,0;6,0;0,037411103934292145
6,0;7,0;0,038297162007763286
7,0;8,0;0,03289338064031231
8,0;9,0;0,029827186095653043
9,0;10,0;0,030505205931790944
10,0;11,0;0,030347992525787973
11,0;12,0;0,027702376422206732
12,0;13,0;0,027784951964018388
13,0;14,0;0,034133672386691426
14,0;15,0;0,03260300380676802
15,0;16,0;0,02626624913692565
16,0;17,0;0,02707790629180609
17,0;18,0;0,02698526056196862
18,0;19,0;0,02710989394788808
19,0;20,0;0,028545547341967948
20,0;21,0;0,02313477607929906
21,0;22,0;0,018732208347214396
22,0;23,0;0,02048939692131842
23,0;24,0;0,015831520304579353
24,0;25,0;0,0179412839323871
25,0;26,0;0,014071132964867127
26,0;27,0;0,014267086976569397
27,0;28,0;0,012098442367010728
28,0;29,0;0,012481938821593706
29,0;30,0;0,01373929065121655
30,0;31,0;0,01242104380223762
31,0;32,0;0,006312586218580421
32,0;33,0;0,00556028393665212
33,0;34,0;0,006926156851353125
34,0;35,0;0,004217987109211545
35,0;36,0;0,004034828159942072
36,0;37,0;0,0062063161167080294
37,0;38,0;0,00956892960772708
38,0;39,0;0,009577578122149249
39,0;40,0;0,005826492318934465
40,0;41,0;0,0062521650904255495
41,0;42,0;0,005705413117024115
42,0;43,0;0,005096462923463254
43,0;44,0;0,004361813088780199
44,0;45,0;0,006075403672372475
45,0;46,0;0,005140060913975004
46,0;47,0;0,00481094347473141
47,0;48,0;0,003184074980961421
48,0;49,0;0,002277521113037742
49,0;50,0;8,682871534255937E-4
50,0;51,0;0,0017063637427737516
51,0;52,0;0,0014708398157700566
52,0;53,0;4,735357828137669E-4
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
