#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,0968975468975469
1,0;2,0;0,047258297258297256
2,0;3,0;0,04184704184704185
3,0;4,0;0,03766233766233766
4,0;5,0;0,0341991341991342
5,0;6,0;0,033116883116883114
6,0;7,0;0,029004329004329005
7,0;8,0;0,02821067821067821
8,0;9,0;0,029365079365079365
9,0;10,0;0,02821067821067821
10,0;11,0;0,028715728715728715
11,0;12,0;0,028643578643578645
12,0;13,0;0,026623376623376622
13,0;14,0;0,02113997113997114
14,0;15,0;0,01911976911976912
15,0;16,0;0,023304473304473303
16,0;17,0;0,02215007215007215
17,0;18,0;0,02049062049062049
18,0;19,0;0,02049062049062049
19,0;20,0;0,018975468975468975
20,0;21,0;0,017243867243867245
21,0;22,0;0,01681096681096681
22,0;23,0;0,01471861471861472
23,0;24,0;0,010678210678210679
24,0;25,0;0,01038961038961039
25,0;26,0;0,010606060606060607
26,0;27,0;0,010894660894660894
27,0;28,0;0,010533910533910534
28,0;29,0;0,011183261183261184
29,0;30,0;0,01240981240981241
30,0;31,0;0,013347763347763348
31,0;32,0;0,010317460317460317
32,0;33,0;0,007575757575757576
33,0;34,0;0,007142857142857143
34,0;35,0;0,005194805194805195
35,0;36,0;0,005627705627705628
36,0;37,0;0,0053391053391053395
37,0;38,0;0,005555555555555556
38,0;39,0;0,007215007215007215
39,0;40,0;0,006493506493506494
40,0;41,0;0,006854256854256854
41,0;42,0;0,005627705627705628
42,0;43,0;0,005772005772005772
43,0;44,0;0,0053391053391053395
44,0;45,0;0,004545454545454545
45,0;46,0;0,003246753246753247
46,0;47,0;0,003463203463203463
47,0;48,0;0,0033910533910533913
48,0;49,0;0,002453102453102453
49,0;50,0;0,004545454545454545
50,0;51,0;0,003823953823953824
51,0;52,0;0,00367965367965368
52,0;53,0;0,004761904761904762
53,0;54,0;0,004256854256854257
54,0;55,0;0,002886002886002886
55,0;56,0;0,003896103896103896
56,0;57,0;0,003463203463203463
57,0;58,0;0,003751803751803752
58,0;59,0;0,001875901875901876
59,0;60,0;0,0021645021645021645
60,0;61,0;0,0021645021645021645
61,0;62,0;0,0013708513708513709
62,0;63,0;0,0017316017316017316
63,0;64,0;0,001443001443001443
64,0;65,0;0,0026695526695526698
65,0;66,0;0,0030303030303030303
66,0;67,0;0,0020923520923520926
67,0;68,0;0,0029581529581529584
68,0;69,0;0,0026695526695526698
69,0;70,0;0,003896103896103896
70,0;71,0;0,002453102453102453
71,0;72,0;0,0020923520923520926
72,0;73,0;0,0018037518037518038
73,0;74,0;0,001875901875901876
74,0;75,0;0,001948051948051948
75,0;76,0;0,0015151515151515152
76,0;77,0;0,0016594516594516595
77,0;78,0;0,0021645021645021645
78,0;79,0;0,0020923520923520926
79,0;80,0;0,04386724386724387
