#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,09460826794404742
1,0;2,0;0,04282559625161101
2,0;3,0;0,042273924501458164
3,0;4,0;0,04061919568493012
4,0;5,0;0,038270222629340316
5,0;6,0;0,03381667626936419
6,0;7,0;0,030130844451624388
7,0;8,0;0,024074628641989525
8,0;9,0;0,032214722904531715
9,0;10,0;0,02698938031880956
10,0;11,0;0,0247231150606531
11,0;12,0;0,027221893061897085
12,0;13,0;0,023696679070688027
13,0;14,0;0,019898350326742344
14,0;15,0;0,022262719206096803
15,0;16,0;0,023444259169430395
16,0;17,0;0,016857854154430568
17,0;18,0;0,016953952738115032
18,0;19,0;0,016866948431724104
19,0;20,0;0,018467469626904053
20,0;21,0;0,01636604709575329
21,0;22,0;0,014984003381066115
22,0;23,0;0,013340087445414643
23,0;24,0;0,015248811549818093
24,0;25,0;0,014188218313640285
25,0;26,0;0,012851932419351304
26,0;27,0;0,012450710091196268
27,0;28,0;0,014186070059161495
28,0;29,0;0,0122984704571328
29,0;30,0;0,012302838574573002
30,0;31,0;0,008274718209879593
31,0;32,0;0,009632773082886962
32,0;33,0;0,007679866544703099
33,0;34,0;0,008589938750400471
34,0;35,0;0,007000874912440728
35,0;36,0;0,006378453981453117
36,0;37,0;0,009022382376980565
37,0;38,0;0,006260801244498141
38,0;39,0;0,007156838187600762
39,0;40,0;0,007768875888607563
40,0;41,0;0,0069511786254980905
41,0;42,0;0,00840332704467639
42,0;43,0;0,0059493043450738305
43,0;44,0;0,004764542000022055
44,0;45,0;0,006981612230614259
45,0;46,0;0,004322717662217918
46,0;47,0;0,0037181988518868764
47,0;48,0;0,004903748890247541
48,0;49,0;0,0035101046013749117
49,0;50,0;0,0034354885624783295
50,0;51,0;0,0031535659663786716
51,0;52,0;0,003801193083250733
52,0;53,0;0,0020034621269180153
53,0;54,0;0,003337599766728207
54,0;55,0;0,003291985163295268
55,0;56,0;0,0043875233389947
56,0;57,0;0,0032530301487465724
57,0;58,0;0,0029016473244994245
58,0;59,0;0,0013049213788986702
59,0;60,0;0,0010752013666335692
60,0;61,0;0,002414781251123358
61,0;62,0;0,00205917352640126
62,0;63,0;0,0031071636696368434
63,0;64,0;0,002191219568364117
64,0;65,0;0,0019016348646234474
65,0;66,0;0,00196758627712225
66,0;67,0;0,0019759644695895246
67,0;68,0;0,0019509731091529533
68,0;69,0;0,0016664009991961231
69,0;70,0;0,002536444063105405
70,0;71,0;0,0023161047620643463
71,0;72,0;0,004344271815488428
72,0;73,0;0,002066405983146514
73,0;74,0;0,0036717249466624215
74,0;75,0;0,004148995483366567
75,0;76,0;0,002220364220793012
76,0;77,0;0,00214710874306633
77,0;78,0;0,0034509559947256056
78,0;79,0;0,0032387084522213167
79,0;80,0;0,03697425231076993
