#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,08653811238506733
1,5;0,040988718944202196
2,5;0,03407086469867274
3,5;0,03368093840339333
4,5;0,029707022347230275
5,5;0,03330404169124843
6,5;0,027379746559656054
7,5;0,021393080308796848
8,5;0,022082580216308167
9,5;0,01777213779574484
10,5;0,016184130651261286
11,5;0,013809222125342881
12,5;0,010354460197186721
13,5;0,01333204034300698
14,5;0,01346148177545799
15,5;0,017640453566196902
16,5;0,013984160298902908
17,5;0,014786868059877983
18,5;0,016438741521692973
19,5;0,01227269251422681
20,5;0,013603418791734717
21,5;0,015843759491837715
22,5;0,01867448982774037
23,5;0,01572862924086231
24,5;0,012505409412998056
25,5;0,017703999483943068
26,5;0,014731545731487205
27,5;0,016768325895078963
28,5;0,01851834842984979
29,5;0,016007804079498398
30,5;0,015882848241241237
31,5;0,01594148136534652
32,5;0,013076575073681224
33,5;0,014710292558997312
34,5;0,014570277940232234
35,5;0,011234597857936533
36,5;0,008584038888820063
37,5;0,008102905511599106
38,5;0,0056348675062275
39,5;0,0073806180465280005
40,5;0,006650534191548542
41,5;0,008917147657644071
42,5;0,009107144611712015
43,5;0,010519679583326747
44,5;0,008666167982512164
45,5;0,008012339228828103
46,5;0,008413586309453882
47,5;0,008398527528945966
48,5;0,008851572542524501
49,5;0,0076145097437785875
50,5;0,00827378529041232
51,5;0,012063257985318864
52,5;0,009288170377392263
53,5;0,00782725506840104
54,5;0,008076739545468333
55,5;0,0053307014999399785
56,5;0,005838214443015225
57,5;0,005390829822109878
58,5;0,0077327371907449805
59,5;0,0047413798627579055
60,5;0,005630168312310137
61,5;0,005342129085148112
62,5;0,004130271053777148
63,5;0,004023150792433614
64,5;0,0039252153192012905
65,5;0,00326092017906492
66,5;0,004199904563643533
67,5;0,004763167034556591
68,5;0,00290271344272772
69,5;0,002264477468860364
70,5;0,0021082292711080315
71,5;0,0029730945516264124
72,5;0,0038830293738067786
73,5;0,003239773806436785
74,5;0,003164693503620729
75,5;0,0020718105182484653
76,5;0,0034754811013372622
77,5;0,002301323421166964
78,5;0,0029351806007022305
79,5;0,009305258355273585
