#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,11560400191306484
1,5;0,05253612266186876
2,5;0,05233129285623136
3,5;0,05394864642544269
4,5;0,044776250909680945
5,5;0,04383001442718588
6,5;0,040984771017800195
7,5;0,03690490580749424
8,5;0,04132136905509704
9,5;0,03545822724307694
10,5;0,032162041463136226
11,5;0,030922766689347434
12,5;0,025127241483054914
13,5;0,02989594467674659
14,5;0,027049216276019895
15,5;0,025639266497437054
16,5;0,02257533336323116
17,5;0,02216765374041104
18,5;0,0181342192593675
19,5;0,01873009678480565
20,5;0,018757420625480335
21,5;0,015644185778752723
22,5;0,0158336706738663
23,5;0,015741997208414276
24,5;0,010584919279335683
25,5;0,011564320568446765
26,5;0,012894476812305707
27,5;0,009631356839558269
28,5;0,010476811909709755
29,5;0,007644438425279542
30,5;0,006624843370538307
31,5;0,0065554447752015155
32,5;0,008287538675361984
33,5;0,00824823590453644
34,5;0,007491385317732213
35,5;0,00831624850795495
36,5;0,0064397144500250416
37,5;0,00599025707081102
38,5;0,00485176370936581
39,5;0,004139363863369313
40,5;0,003897706272474725
41,5;0,0031974833554745544
42,5;0,002302726572801354
43,5;0,004918984317402445
44,5;0,001639826438172039
45,5;0,0034650787951255456
46,5;0,0029273139308324692
47,5;0,0017324898978514057
48,5;0,0012653116219679323
49,5;0,0024653826243539174
50,5;0,0019430616700074023
51,5;8,724819125579679E-4
52,5;0,0014676664420369765
53,5;2,777923801926311E-4
54,5;6,877489897356408E-4
55,5;5,71226669177292E-4
56,5;2,9046430630262995E-4
57,5;2,5947748698677337E-4
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
