#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,1201980198019802
1,0;2,0;0,057821782178217825
2,0;3,0;0,0503960396039604
3,0;4,0;0,0501980198019802
4,0;5,0;0,04574257425742574
5,0;6,0;0,04574257425742574
6,0;7,0;0,04108910891089109
7,0;8,0;0,03752475247524752
8,0;9,0;0,039603960396039604
9,0;10,0;0,03792079207920792
10,0;11,0;0,03346534653465347
11,0;12,0;0,03415841584158416
12,0;13,0;0,03405940594059406
13,0;14,0;0,031188118811881188
14,0;15,0;0,027524752475247525
15,0;16,0;0,022574257425742573
16,0;17,0;0,022277227722772276
17,0;18,0;0,016930693069306932
18,0;19,0;0,018316831683168316
19,0;20,0;0,017425742574257427
20,0;21,0;0,01801980198019802
21,0;22,0;0,017425742574257427
22,0;23,0;0,015247524752475247
23,0;24,0;0,013762376237623762
24,0;25,0;0,01396039603960396
25,0;26,0;0,011881188118811881
26,0;27,0;0,007128712871287129
27,0;28,0;0,010198019801980198
28,0;29,0;0,008217821782178218
29,0;30,0;0,009801980198019802
30,0;31,0;0,006930693069306931
31,0;32,0;0,00702970297029703
32,0;33,0;0,007227722772277228
33,0;34,0;0,008217821782178218
34,0;35,0;0,0057425742574257425
35,0;36,0;0,006435643564356435
36,0;37,0;0,004356435643564357
37,0;38,0;0,0048514851485148515
38,0;39,0;0,004752475247524752
39,0;40,0;0,0038613861386138613
40,0;41,0;0,002376237623762376
41,0;42,0;0,0025742574257425744
42,0;43,0;0,002376237623762376
43,0;44,0;0,002277227722772277
44,0;45,0;0,0025742574257425744
45,0;46,0;0,0025742574257425744
46,0;47,0;0,0029702970297029703
47,0;48,0;0,0024752475247524753
48,0;49,0;0,0024752475247524753
49,0;50,0;0,0021782178217821784
50,0;51,0;0,0017821782178217822
51,0;52,0;0,0010891089108910892
52,0;53,0;7,920792079207921E-4
53,0;54,0;0,001188118811881188
54,0;55,0;6,93069306930693E-4
55,0;56,0;2,97029702970297E-4
56,0;57,0;9,900990099009902E-5
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
