#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,1201980198019802
1,5;0,057821782178217825
2,5;0,0503960396039604
3,5;0,0501980198019802
4,5;0,04574257425742574
5,5;0,04574257425742574
6,5;0,04108910891089109
7,5;0,03752475247524752
8,5;0,039603960396039604
9,5;0,03792079207920792
10,5;0,03346534653465347
11,5;0,03415841584158416
12,5;0,03405940594059406
13,5;0,031188118811881188
14,5;0,027524752475247525
15,5;0,022574257425742573
16,5;0,022277227722772276
17,5;0,016930693069306932
18,5;0,018316831683168316
19,5;0,017425742574257427
20,5;0,01801980198019802
21,5;0,017425742574257427
22,5;0,015247524752475247
23,5;0,013762376237623762
24,5;0,01396039603960396
25,5;0,011881188118811881
26,5;0,007128712871287129
27,5;0,010198019801980198
28,5;0,008217821782178218
29,5;0,009801980198019802
30,5;0,006930693069306931
31,5;0,00702970297029703
32,5;0,007227722772277228
33,5;0,008217821782178218
34,5;0,0057425742574257425
35,5;0,006435643564356435
36,5;0,004356435643564357
37,5;0,0048514851485148515
38,5;0,004752475247524752
39,5;0,0038613861386138613
40,5;0,002376237623762376
41,5;0,0025742574257425744
42,5;0,002376237623762376
43,5;0,002277227722772277
44,5;0,0025742574257425744
45,5;0,0025742574257425744
46,5;0,0029702970297029703
47,5;0,0024752475247524753
48,5;0,0024752475247524753
49,5;0,0021782178217821784
50,5;0,0017821782178217822
51,5;0,0010891089108910892
52,5;7,920792079207921E-4
53,5;0,001188118811881188
54,5;6,93069306930693E-4
55,5;2,97029702970297E-4
56,5;9,900990099009902E-5
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
