#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
batch means autocorrelation (lag=14);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;97.89729631183761;0.5548693607196683
batch means autocorrelation (lag=15);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;94.56347307900424;0.5359736768178143
batch means autocorrelation (lag=16);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;91.50776221746861;0.5186542982837679
batch means autocorrelation (lag=17);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;88.406056539025;0.5010742270072696
batch means autocorrelation (lag=18);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;85.09833651975242;0.48232649278295375
batch means autocorrelation (lag=19);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;81.42351299952486;0.4614980628441822
batch means autocorrelation (lag=20);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;78.55469778364181;0.4452379849377467
batch means autocorrelation (lag=21);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;75.94091312902012;0.43042338765051347
batch means autocorrelation (lag=22);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;73.13500493760176;0.41451985871697616
batch means autocorrelation (lag=23);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;70.02521495659977;0.39689396664704
batch means autocorrelation (lag=24);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;66.52908550379283;0.37707835183891564
batch means autocorrelation (lag=25);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;63.49086187787634;0.35985808872086433
batch means autocorrelation (lag=26);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;60.515731551352076;0.34299543035818797
batch means autocorrelation (lag=27);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;57.623834102616684;0.32660452530668027
batch means autocorrelation (lag=28);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;54.54896472224539;0.3091765587370172
batch means autocorrelation (lag=29);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;51.09559267361243;0.28960328742982544
batch means autocorrelation (lag=30);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;47.68791207759426;0.2702889894350525
batch means autocorrelation (lag=31);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;44.11678031584091;0.25004827112779743
batch means autocorrelation (lag=32);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;40.60493863083107;0.23014360139613224
batch means autocorrelation (lag=33);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;37.03833002797617;0.20992851977529212
batch means autocorrelation (lag=34);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;33.58439493884211;0.1903520572265168
batch means autocorrelation (lag=35);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;30.58320790952982;0.17334171280341643
batch means autocorrelation (lag=36);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;27.212971925472402;0.1542396460824764
batch means autocorrelation (lag=37);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;24.314954201829266;0.1378140520951816
batch means autocorrelation (lag=38);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;21.787583224938373;0.12348923648656789
batch means autocorrelation (lag=39);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;19.0878899243489;0.1081877199761868
batch means autocorrelation (lag=40);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;16.405392294303;0.09298366632822497
batch means autocorrelation (lag=41);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;14.118368570011626;0.08002110822237028
batch means autocorrelation (lag=42);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;12.038490143952686;0.06823262318631923
batch means autocorrelation (lag=43);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;9.784073413556712;0.05545487735352363
batch means autocorrelation (lag=44);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;7.4817848537493035;0.04240580011135599
batch means autocorrelation (lag=45);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;5.481762590846245;0.031069929599598704
batch means autocorrelation (lag=46);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;3.9639335634009;0.02246706870487431
batch means autocorrelation (lag=47);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;2.629071064492649;0.014901238704231908
batch means autocorrelation (lag=48);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;1.157148782703871;0.006558571375364954
batch means autocorrelation (lag=49);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-0.2755542738444774;-0.001561806398458928
batch means autocorrelation (lag=50);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.9478830747517577;-0.011040352258568741
batch means autocorrelation (lag=51);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-2.3334354147465604;-0.013225613634280708
batch means autocorrelation (lag=52);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.7415550995755211;-0.00987091167136451
batch means autocorrelation (lag=53);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.7506093463129275;-0.009922229984415566
batch means autocorrelation (lag=54);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-2.0981414763695625;-0.011891997670540645
batch means autocorrelation (lag=55);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.9777120872653882;-0.011209419288281347
batch means autocorrelation (lag=56);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-2.061041249240816;-0.01168171832591085
batch means autocorrelation (lag=57);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-2.9100312674604254;-0.016493685217890606
batch means autocorrelation (lag=58);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-4.137954464137636;-0.02345339692415505
batch means autocorrelation (lag=59);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-4.941635243967852;-0.028008556845084902
batch means autocorrelation (lag=60);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-5.36448896565804;-0.030405237683795626
batch means autocorrelation (lag=61);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-6.00686328231879;-0.034046133192216166
batch means autocorrelation (lag=62);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-6.512509215552171;-0.03691206970214796
batch means autocorrelation (lag=63);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-6.969125025401468;-0.03950010974054212
batch means autocorrelation (lag=64);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-7.478629570036958;-0.04238791636663252
batch means autocorrelation (lag=65);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-7.972109743080011;-0.0451848989030248
batch means autocorrelation (lag=66);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-8.540029327805428;-0.04840379450881353
batch means autocorrelation (lag=67);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-8.922742170474635;-0.05057296197667334
batch means autocorrelation (lag=68);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-9.193930020741789;-0.0521100200444811
batch means autocorrelation (lag=69);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-8.628362706595112;-0.04890445680762835
batch means autocorrelation (lag=70);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-7.0388980039729745;-0.03989557406360328
batch means autocorrelation (lag=71);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-4.99739540860736;-0.028324598330118297
batch means autocorrelation (lag=72);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-2.755604032281525;-0.01561841139022044
batch means autocorrelation (lag=73);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.0282294987982254;-0.005827873354683119
batch means autocorrelation (lag=74);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;0.1961818480939428;0.0011119336359397137
