#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,09213520595486777
1,5;0,03955202628562211
2,5;0,042843306356645766
3,5;0,04076408651919302
4,5;0,039063342696143546
5,5;0,03924304350934829
6,5;0,040494591072450216
7,5;0,03780264835049489
8,5;0,03446797683543856
9,5;0,038188151771001155
10,5;0,030696490680711366
11,5;0,02416022218204083
12,5;0,02068879511329796
13,5;0,027219820943923417
14,5;0,026596612723330686
15,5;0,024196140035456053
16,5;0,02403885999410367
17,5;0,018577784629188878
18,5;0,019652866216816004
19,5;0,02248122985407201
20,5;0,023111688573024956
21,5;0,019384486231359386
22,5;0,024794138830980954
23,5;0,019705739081781273
24,5;0,01563542084848455
25,5;0,015336811862172265
26,5;0,011104640196249797
27,5;0,01000814175192788
28,5;0,009119676837479856
29,5;0,008838580593360708
30,5;0,011011164540467319
31,5;0,010307754653397734
32,5;0,01014121628337
33,5;0,00887561390806212
34,5;0,010536089578680232
35,5;0,008673380776876398
36,5;0,007397739249992833
37,5;0,008498364901073642
38,5;0,007024617449763249
39,5;0,00673749771469869
40,5;0,005406529308020245
41,5;0,005321531158012788
42,5;0,00748798006804537
43,5;0,003944717292472053
44,5;0,005089515210485871
45,5;0,004322077845589148
46,5;0,0035682491083839072
47,5;0,0033789553281179567
48,5;0,0035366815539848127
49,5;0,004745172311439914
50,5;0,0029454870723056507
51,5;0,005948755039235793
52,5;0,005108254960093815
53,5;0,002029358717960187
54,5;0,0012355964667094483
55,5;0,001290700254247091
56,5;9,603006212784725E-4
57,5;7,007327799827349E-4
58,5;6,574528820786755E-4
59,5;0,0013068744428968038
60,5;5,663196949971896E-4
61,5;2,779729525178248E-4
62,5;4,377070086998172E-4
63,5;5,666543333830458E-4
64,5;6,045800171134071E-5
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
