#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,09213520595486777
1,0;2,0;0,03955202628562211
2,0;3,0;0,042843306356645766
3,0;4,0;0,04076408651919302
4,0;5,0;0,039063342696143546
5,0;6,0;0,03924304350934829
6,0;7,0;0,040494591072450216
7,0;8,0;0,03780264835049489
8,0;9,0;0,03446797683543856
9,0;10,0;0,038188151771001155
10,0;11,0;0,030696490680711366
11,0;12,0;0,02416022218204083
12,0;13,0;0,02068879511329796
13,0;14,0;0,027219820943923417
14,0;15,0;0,026596612723330686
15,0;16,0;0,024196140035456053
16,0;17,0;0,02403885999410367
17,0;18,0;0,018577784629188878
18,0;19,0;0,019652866216816004
19,0;20,0;0,02248122985407201
20,0;21,0;0,023111688573024956
21,0;22,0;0,019384486231359386
22,0;23,0;0,024794138830980954
23,0;24,0;0,019705739081781273
24,0;25,0;0,01563542084848455
25,0;26,0;0,015336811862172265
26,0;27,0;0,011104640196249797
27,0;28,0;0,01000814175192788
28,0;29,0;0,009119676837479856
29,0;30,0;0,008838580593360708
30,0;31,0;0,011011164540467319
31,0;32,0;0,010307754653397734
32,0;33,0;0,01014121628337
33,0;34,0;0,00887561390806212
34,0;35,0;0,010536089578680232
35,0;36,0;0,008673380776876398
36,0;37,0;0,007397739249992833
37,0;38,0;0,008498364901073642
38,0;39,0;0,007024617449763249
39,0;40,0;0,00673749771469869
40,0;41,0;0,005406529308020245
41,0;42,0;0,005321531158012788
42,0;43,0;0,00748798006804537
43,0;44,0;0,003944717292472053
44,0;45,0;0,005089515210485871
45,0;46,0;0,004322077845589148
46,0;47,0;0,0035682491083839072
47,0;48,0;0,0033789553281179567
48,0;49,0;0,0035366815539848127
49,0;50,0;0,004745172311439914
50,0;51,0;0,0029454870723056507
51,0;52,0;0,005948755039235793
52,0;53,0;0,005108254960093815
53,0;54,0;0,002029358717960187
54,0;55,0;0,0012355964667094483
55,0;56,0;0,001290700254247091
56,0;57,0;9,603006212784725E-4
57,0;58,0;7,007327799827349E-4
58,0;59,0;6,574528820786755E-4
59,0;60,0;0,0013068744428968038
60,0;61,0;5,663196949971896E-4
61,0;62,0;2,779729525178248E-4
62,0;63,0;4,377070086998172E-4
63,0;64,0;5,666543333830458E-4
64,0;65,0;6,045800171134071E-5
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
