#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,08955916473317865
1,5;0,04048723897911833
2,5;0,04048723897911833
3,5;0,03654292343387471
4,5;0,03921113689095128
5,5;0,0388631090487239
6,5;0,041531322505800466
7,5;0,041415313225058
8,5;0,04025522041763341
9,5;0,03317865429234339
10,5;0,02888631090487239
11,5;0,02749419953596288
12,5;0,02296983758700696
13,5;0,020301624129930394
14,5;0,027610208816705336
15,5;0,025522041763341066
16,5;0,02308584686774942
17,5;0,021693735498839906
18,5;0,02331786542923434
19,5;0,02111368909512761
20,5;0,019837587006960557
21,5;0,020185614849187936
22,5;0,020649651972157772
23,5;0,01716937354988399
24,5;0,014269141531322506
25,5;0,013109048723897912
26,5;0,011832946635730859
27,5;0,011136890951276101
28,5;0,007424593967517401
29,5;0,010092807424593968
30,5;0,011020881670533642
31,5;0,009164733178654292
32,5;0,010904872389791183
33,5;0,013921113689095127
34,5;0,011948955916473318
35,5;0,008700696055684454
36,5;0,011716937354988398
37,5;0,011368909512761021
38,5;0,0068445475638051045
39,5;0,0069605568445475635
40,5;0,007076566125290023
41,5;0,005220417633410673
42,5;0,004756380510440836
43,5;0,00382830626450116
44,5;0,004640371229698376
45,5;0,0053364269141531325
46,5;0,0068445475638051045
47,5;0,004524361948955917
48,5;0,004524361948955917
49,5;0,00382830626450116
50,5;0,004176334106728539
51,5;0,005452436194895592
52,5;0,0035962877030162412
53,5;0,0018561484918793504
54,5;9,280742459396752E-4
55,5;4,640371229698376E-4
56,5;5,80046403712297E-4
57,5;2,320185614849188E-4
58,5;3,4802784222737816E-4
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
